"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"34",-0.0313537668901755,-0.0321531533436863,-0.0337737603673371,-0.0416984647588174,-0.0471524418853271,-0.0526959983388489,-0.0590347280025414,-0.0694853801574506,-0.0806235849379613,-0.0907097972923783,-0.0975078633882012,0.0135506294608421,-0.0583789790396434,-0.099117618289851,-0.100643701760388
"35",-0.0320559561081692,-0.0377621968902915,-0.035858347794079,-0.0417293005295916,-0.0491579647821565,-0.0549636063918424,-0.0603975877758369,-0.0701512074400403,-0.0820076029846675,-0.0904433273060015,-0.0973684806816655,0.00613007076775141,-0.0725920064707966,-0.101226847451981,-0.102246139911212
"36",-0.0296899841913696,-0.0380396829427276,-0.0409850683546935,-0.0433997927993879,-0.0488268659083753,-0.0565355853952285,-0.0622027096568498,-0.0710690823454625,-0.0822995336140178,-0.0907938848042731,-0.0957751025883375,-3.72911965751399e-06,-0.086502562673747,-0.102488804291644,-0.103725750736555
"37",-0.0301422720710249,-0.0354481722506463,-0.0410630375751193,-0.0483070511236194,-0.050367451911761,-0.0561208613779787,-0.0637083871897328,-0.0727654779002744,-0.0827093349988148,-0.0910434407747722,-0.095615404375712,-0.00512642687764409,-0.0990890449682889,-0.103178681818861,-0.104894681042539
"38",-0.0316970523720741,-0.0359451246913407,-0.0387055979334896,-0.0485556974152024,-0.055302374976951,-0.0578077939468669,-0.0634976809884753,-0.0743898831711283,-0.0839435431153746,-0.0913268234095144,-0.0961952468365208,-0.0121213663191089,-0.111851644184061,-0.102869099541365,-0.105948487222585
"39",-0.0326159483223183,-0.037674420381931,-0.0394411803694101,-0.0466030069653511,-0.0558924465959647,-0.0630049958798375,-0.0655406570533632,-0.0746405685154024,-0.0855613971226319,-0.0925282993905103,-0.0967760566635665,-0.0199807921651676,-0.127146042541718,-0.102440062524959,-0.106546069524486
"40",-0.0311641193017564,-0.0385483123974701,-0.0411973122428719,-0.0474617204132528,-0.054062866975352,-0.0636437488264514,-0.0706559259573885,-0.0766870239469171,-0.0856789785465821,-0.0937587433908353,-0.0976866488566372,-0.0265352394454146,-0.142149288470979,-0.103747896703234,-0.106632559882907
"41",-0.0300731661173979,-0.0371035605057148,-0.0420513843519261,-0.0490507744626276,-0.0547251029683657,-0.0616651371244341,-0.0709563404408975,-0.0812939827598536,-0.0869943261871953,-0.093434796743332,-0.0982106933026063,-0.0316020398969989,-0.15454487873895,-0.105075788068138,-0.107641174227878
"42",-0.0289400859500075,-0.0357759000619948,-0.0403167615849007,-0.0494745425493068,-0.0557429980386361,-0.061638895013262,-0.0682993628379744,-0.080802397991417,-0.0903253381354707,-0.0935305586445585,-0.0969357916325295,-0.0342671558221213,-0.164338389168037,-0.104778305384332,-0.108049507838102
"43",-0.0268970482994684,-0.0343989317879823,-0.0387255768582389,-0.0473716380506195,-0.0556399688312625,-0.0620479102374025,-0.0675669985894398,-0.0774084527634145,-0.0894972561441598,-0.0957682738616548,-0.0960391078631782,-0.0335949287000599,-0.171996972070714,-0.103854656629106,-0.107029607321524
